datetime,open,high,low,close,volume,openinterest
1697932800000,0.521762,0.52217,0.5151,0.518981,11072.171929,27
1698019200000,0.523,0.55031,0.523,0.545934,71979.43253688,201
1698105600000,0.54595,0.584947,0.540076,0.56,153892.52722931,168
1698192000000,0.556784,0.562156,0.542,0.555098,105910.71139384,71
1698278400000,0.553595,0.56829,0.544091,0.551851,81392.64998988,210
1698364800000,0.550415,0.553369,0.539713,0.543904,42093.08332425,141
1698451200000,0.5456,0.549773,0.544927,0.544927,17061.96981882,51
1698537600000,0.544862,0.556939,0.541918,0.556939,9557.92763142,64
1698624000000,0.553313,0.582784,0.550474,0.575964,27094.59079052,75
1698710400000,0.577013,0.6156,0.571306,0.602,25074.30411019,37
1698796800000,0.592469,0.61252,0.583826,0.608801,4817.08245469,33
1698883200000,0.608335,0.628688,0.589858,0.603408,17952.04050069,70
1698969600000,0.600369,0.613613,0.593957,0.611589,6779.13081732,38
1699056000000,0.610248,0.618251,0.608938,0.6178,3656.31339886,22
1699142400000,0.616765,0.65944,0.616,0.65944,32970.89099466,99
1699228800000,0.661197,0.7272,0.661197,0.71897,44907.21817898,168
1699315200000,0.71,0.71,0.66,0.6843,54269.13203399,167
1699401600000,0.688911,0.697,0.675871,0.689656,19950.19241434,49
1699488000000,0.692716,0.703794,0.62843,0.667475,107728.78386155,395
1699574400000,0.666,0.666,0.641821,0.66,23890.79612753,95
1699660800000,0.66,0.685505,0.641514,0.663299,21687.04817179,236
1699747200000,0.658797,0.670181,0.652234,0.664536,10010.36319737,71
1699833600000,0.65777,0.759999,0.642186,0.67,95510.63567803,297
1699920000000,0.669092,0.669092,0.6011,0.629337,77389.50006996,211
1700006400000,0.630026,0.663599,0.630026,0.65216,50911.0124605,348
1700092800000,0.64657,0.663598,0.605013,0.605891,56592.08720947,192
1700179200000,0.620735,0.629999,0.59,0.614979,84083.88080868,480
1700265600000,0.612109,0.626999,0.599615,0.61,18609.42976527,63
1700352000000,0.606529,0.625523,0.606529,0.625135,4572.19188555,24
1700438400000,0.62431,0.62431,0.611394,0.611394,3643.03263717,32
1700524800000,0.61141,0.617944,0.57774,0.580444,90875.68343747,152
1700611200000,0.579721,0.618,0.579721,0.618,21895.12906151,75
1700697600000,0.611976,0.621188,0.605288,0.62,51709.59714819,77
1700784000000,0.621811,0.62668,0.619097,0.621,13020.01035483,139
1700870400000,0.622532,0.623053,0.618252,0.621115,2494.29077407,15
1700956800000,0.621202,0.635452,0.612369,0.618645,17710.28925744,68
1701043200000,0.6156,0.6156,0.596505,0.603638,23800.98674071,70
1701129600000,0.604,0.615348,0.600289,0.612557,18737.85878776,30
1701216000000,0.611504,0.614383,0.607,0.61074,21621.41875886,29
1701302400000,0.607,0.6075,0.600047,0.600047,11609.05592398,32
1701388800000,0.605361,0.616587,0.605361,0.614179,5334.04954815,43
1701475200000,0.61257,0.621312,0.612413,0.620108,13173.831023,44
1701561600000,0.620022,0.626275,0.62,0.625884,1933.89160318,12
1701648000000,0.626967,0.649998,0.587786,0.623845,45175.84467704,247
1701734400000,0.6278,0.6282,0.606957,0.626032,30013.25835461,148
1701820800000,0.621793,0.6385,0.616171,0.6385,29214.66476846,81
1701907200000,0.634156,0.652537,0.623542,0.643499,31686.3035298,49
1701993600000,0.644,0.67235,0.64,0.67232,41597.38375464,92
1702080000000,0.672405,0.69814,0.656008,0.656008,31779.91078605,78
1702166400000,0.662791,0.670801,0.65,0.668587,4440.08912181,25
1702252800000,0.659,0.659,0.608,0.62115,67474.56671019,136
1702339200000,0.62457,0.6248,0.609014,0.61446,36215.23143404,148
1702425600000,0.61,0.6311,0.599,0.626195,26968.17953926,217
1702512000000,0.625598,0.63713,0.618195,0.634,23593.39844064,138
1702598400000,0.63293,0.6389,0.61505,0.615858,20873.65303111,118
1702684800000,0.615,0.631059,0.615,0.618134,8523.37446506,49
1702771200000,0.618811,0.62,0.613088,0.61668,5252.46086947,36
1702857600000,0.61,0.611589,0.5828,0.611589,20603.54044618,114
1702944000000,0.614,0.614,0.59624,0.606851,7566.33861503,49
1703030400000,0.607062,0.632063,0.607062,0.621234,29032.2449355,105
1703116800000,0.613033,0.62586,0.61002,0.622289,25200.75153917,96
1703203200000,0.624,0.62649,0.616803,0.625127,45863.16358383,39
1703289600000,0.624524,0.624648,0.6139,0.61874,16448.50723002,49
1703376000000,0.619051,0.626962,0.61,0.61,26633.26392285,75
1703462400000,0.611237,0.649189,0.610008,0.642777,10489.04276078,48
1703548800000,0.643664,0.644199,0.603697,0.622377,25581.96488954,130
1703635200000,0.62,0.652399,0.614292,0.634998,32952.48073735,105
1703721600000,0.65,0.66588,0.62757,0.632243,36296.43376987,122
1703808000000,0.628,0.637487,0.619626,0.62,26047.34136559,98
1703894400000,0.627009,0.627767,0.619,0.625204,3597.05111324,22
1703980800000,0.623776,0.629708,0.608799,0.608799,22935.73421923,81
1704067200000,0.611991,0.63061,0.611977,0.62871,13564.14761837,65
1704153600000,0.631097,0.639037,0.623806,0.628481,55654.82643884,213
1704240000000,0.6245,0.659999,0.53,0.582805,217776.09181349,630
1704326400000,0.581656,0.592434,0.57188,0.586621,21930.96235815,112
1704412800000,0.5851,0.5851,0.556734,0.566846,21614.51335976,82
1704499200000,0.569234,0.573127,0.558077,0.56797,25354.07681199,53
1704585600000,0.573468,0.57581,0.548742,0.548742,11977.24177176,65
1704672000000,0.577836,0.609999,0.551377,0.578148,43886.29915354,103
1704758400000,0.574073,0.579047,0.55749,0.569,18666.65502953,63
1704844800000,0.5695,0.61,0.55005,0.601268,67399.3926891,190
1704931200000,0.596,0.62,0.594996,0.604127,32973.70703846,87
1705017600000,0.598,0.622799,0.555936,0.570392,45411.14121748,285
1705104000000,0.572663,0.577559,0.567474,0.577,16309.50873009,82
1705190400000,0.574843,0.617999,0.574841,0.586911,12917.8369492,143
1705276800000,0.583322,0.586806,0.571687,0.580504,25041.62129653,82
1705363200000,0.572956,0.578726,0.570001,0.5772,6820.42699388,22
1705449600000,0.572937,0.573783,0.563396,0.567703,21126.86812677,35
1705536000000,0.56824,0.569283,0.547881,0.554062,32734.28815378,118
1705622400000,0.547804,0.551758,0.525,0.546687,21399.56379646,52
1705708800000,0.545158,0.555065,0.545158,0.555065,5676.17778576,16
1705795200000,0.552951,0.55314,0.548791,0.549046,3647.64779626,36
1705881600000,0.544061,0.544061,0.52,0.53,28253.37888462,81
1705968000000,0.528019,0.528019,0.498,0.516854,27552.32605999,104
1706054400000,0.516,0.522595,0.511409,0.516493,18650.72967943,84
1706140800000,0.5164,0.524999,0.5075,0.5144,26355.36026631,36
1706227200000,0.510533,0.535757,0.510371,0.533492,25426.76626888,83
1706313600000,0.53186,0.532006,0.528,0.531589,4522.17711645,13
1706400000000,0.533014,0.534083,0.521662,0.52602,8188.60519444,36
1706486400000,0.525168,0.54,0.522,0.536172,24635.56799626,29
1706572800000,0.534527,0.536767,0.508582,0.512,28529.05137944,46
1706659200000,0.509049,0.515179,0.494,0.503571,38067.29716216,64
1706745600000,0.5,0.50859,0.492,0.508047,8389.34144458,16
1706832000000,0.505,0.5075,0.49957,0.5075,8944.34920881,21
1706918400000,0.507035,0.525,0.507035,0.521,24807.03504607,29
1707004800000,0.513194,0.513194,0.503755,0.503755,1293.60968073,6
1707091200000,0.50461,0.50877,0.50371,0.50877,12776.11105513,12
1707177600000,0.507572,0.50901,0.5,0.50901,3186.2345268,11
1707264000000,0.505162,0.513149,0.5,0.513149,28441.87959441,38
1707350400000,0.515145,0.549999,0.512109,0.517,57113.28505509,38
1707436800000,0.51527,0.526292,0.51527,0.526292,21812.97941837,32
1707523200000,0.527674,0.527674,0.519397,0.525,65962.47516555,127
1707609600000,0.528019,0.6,0.525087,0.527454,58010.52440519,89
1707696000000,0.529152,0.538171,0.518544,0.533234,33086.61298963,262
1707782400000,0.533882,0.533976,0.515192,0.525739,54236.14978541,107
1707868800000,0.522546,0.539995,0.5222,0.537076,32354.30165223,61
1707955200000,0.546976,0.573,0.544651,0.561404,209281.77586201,146
1708041600000,0.558794,0.576889,0.556291,0.566417,18508.26985675,59
1708128000000,0.561507,0.562992,0.5423,0.55247,34777.6659578,61
1708214400000,0.55,0.562935,0.5497,0.557998,10935.54748987,26
1708300800000,0.559964,0.567374,0.558213,0.567374,15036.40137388,41
1708387200000,0.562,0.572,0.54588,0.564789,125935.53910581,88
1708473600000,0.555669,0.555669,0.53494,0.549112,15926.42829061,61
1708560000000,0.547,0.554232,0.539775,0.542294,32649.25650529,85
1708646400000,0.543841,0.543841,0.528621,0.533921,30398.82956941,66
1708732800000,0.533507,0.549506,0.533507,0.54664,51241.44320495,71
1708819200000,0.548346,0.548346,0.543036,0.545197,12107.2852633,34
1708905600000,0.54252,0.551231,0.530171,0.549999,54380.89416158,92
1708992000000,0.551137,0.595125,0.550038,0.585,64804.02753099,119
1709078400000,0.584292,0.605235,0.531518,0.575865,139862.36075777,309
1709164800000,0.572792,0.621543,0.572792,0.588349,180703.38177364,418
1709251200000,0.592991,0.602919,0.584866,0.599604,94498.06440471,238
1709337600000,0.609,0.646543,0.609,0.637567,33222.94747229,104
1709424000000,0.631537,0.632005,0.59205,0.627163,59757.72079411,174
1709510400000,0.630842,0.664518,0.619999,0.652668,90751.24986115,337
1709596800000,0.642896,0.664,0.550001,0.592269,311597.53414479,1012
1709683200000,0.593071,0.630597,0.578,0.611204,55852.10165187,189
1709769600000,0.609399,0.637771,0.608727,0.629821,35580.35305835,145
1709856000000,0.63,0.63,0.60543,0.620948,50610.90649746,149
1709942400000,0.6211,0.6317,0.618609,0.623478,41306.21111218,95
1710028800000,0.623698,0.628657,0.599062,0.599062,47121.84858233,178
